Manhattan_W,Conflicts_W,Inversions_W,Quality,Cost
1.5676902070141185,0.8259485322109104,1.883094499118138,46,67
1.1875464891083158,1.347152174082246,1.5467612262365482,46,78
1.514744633595265,1.389005582076663,1.8564404945583466,46,74
1.3204264114220783,1.615386469724275,1.3105817365270664,46,76
1.7359994636861051,0.6630614438364775,1.4824285822466237,46,70
1.4641222891904682,0.08777131893097767,1.6489423183086505,46,66
1.5775083683285527,0.07148435761497463,1.1592852678631518,78,219
1.9265283127915214,1.7118065272267056,0.19297081302196917,76,290
1.5068242263997562,0.2536113257068584,0.7205066173024175,62,273
1.6619900747214762,1.7178654198573264,1.312457062172086,46,71
1.2109532678913375,0.42743140626845166,1.3246412780770764,46,66
1.6239811851130042,1.0730397317896423,1.2425676312353657,46,70
1.4122688315113165,1.7819212290316424,0.011624542762888268,46,75
1.8350704452715787,1.0075652936224286,1.5542919019815955,46,70
1.5276939557610998,0.8787911106258202,1.5471412744934598,46,67
1.3535596316843201,0.8737482469812943,0.3907205753634271,399,3746
1.9922371024744825,1.1350381144534774,1.6705904039111665,521,16765
